Precinct,district
FLORA 1,12
7700013,7
MAYFIELD 1,7
SYCAMORE 7,7
SYCAMORE 9,7
LISLE  017,14
LISLE  030,14
LISLE  041,14
LISLE  064,14
LISLE  071,14
LISLE  082,14
LISLE  107,7
WINFIELD  002,7
WINFIELD  031,7
AU0009,7
AU0021,7
AU0050,7
GE0010,7
RU0013,6
SC0013,7
WAUCONDA 344,6
WAUCONDA 350,6
GREENWOOD GRE 06,6
HARTLAND HAR 01,6
HARTLAND HAR 02,6
MCHENRY MCH 07,6
DU PAGE PCT 032,7
DU PAGE PCT 033,7
FLORA 1,12
SELBY 2,12
MAYFIELD 1,7
COLONA 1,12
DEER PARK 1,12
EDEN 1,12
FALL RIVER 1,7
FARM RIDGE 1,7
ESMEN,11
PONTIAC 10,11
PONTIAC 9,11
HARTLAND HAR 01,6
HARTLAND HAR 02,6
ALLIN 01,2
BLOOMINGTON 01,2
BLOOMINGTON 02,11
DALE 01,2
NORMAL 12,2
NORMAL 13,2
NORMAL 20,11
PRECINCT 10,11
PRECINCT 15,11
PRECINCT 17,2
PRECINCT 2,2
PRECINCT 52,2
KI01,2
LI01,2
LI02,2
RI01,2
RI03,2
RO01,2
HENNEPIN 1,12
MAGNOLIA 2,12
CINCINNATI 01,2
CINCINNATI 03,2
HOPEDALE 01,2
LT MACKINAW 01,2
PEKIN 13,2
CHERRY VALLEY 2,12
CHERRY VALLEY 3,12
CHERRY VALLEY 6,12
HARLEM 1,12
HARLEM 23,12
ROCKFORD 1,12
ROCKFORD 15,12
ROCKFORD 2,12
ROCKFORD 25,12
ROCKFORD 27,12
ROCKFORD 31,12
ROCKFORD 32,12
ROCKFORD 33,12
ROCKFORD 51,12
ROCKFORD 52,12
ROCKFORD 9,12
WARD 1 PRECINCT 2,12
WARD 1 PRECINCT 5,12
WARD 12 PRECINCT 2,12
WARD 12 PRECINCT 5,12
WARD 4 PRECINCT 1,12
WARD 4 PRECINCT 4,12
WARD 4 PRECINCT 8,12
WARD 5 PRECINCT 3,12
WARD 6 PRECINCT 1,12
WARD 6 PRECINCT 3,12
WARD 7 PRECINCT 4,12
WARD 9 PRECINCT 3,12
WINNEBAGO 1,12
WINNEBAGO 2,12
SELBY 2,12
7700013,7
MAYFIELD 1,7
SYCAMORE 7,7
SYCAMORE 9,7
AU0009,7
AU0021,7
AU0050,7
DEER PARK 1,12
EDEN 1,12
FALL RIVER 1,7
FARM RIDGE 1,12
HENNEPIN 1,12
MAGNOLIA 2,12
DU PAGE PCT 032,7
DU PAGE PCT 033,7
TROY PCT 003,7
TROY PCT 022,7
HENSLEY,11
SOMER,11
DECATUR 16,2
DECATUR 19,2
DECATUR 27,2
DECATUR 28,2
DECATUR 7,2
DECATUR 8,2
DECATUR 9,2
HARRISTOWN,2
HICKORY PT. 2,2
HICKORY PT. 3,2
LONG CREEK 4,2
OAKLEY,2
ALTON 01,10
ALTON 03,10
ALTON 05,10
COLLINSVILLE 01,10
COLLINSVILLE 20,10
FORT RUSSELL 07,10
