Precinct,district
FLORA 1,9
7700013,1
MAYFIELD 1,4
SYCAMORE 7,4
SYCAMORE 9,4
LISLE  017,1
LISLE  030,1
LISLE  041,1
LISLE  064,1
LISLE  071,1
LISLE  082,1
LISLE  107,1
WINFIELD  002,1
WINFIELD  031,1
AU0009,12
AU0021,12
AU0050,12
GE0010,12
RU0013,4
SC0013,12
WAUCONDA 344,7
WAUCONDA 350,7
GREENWOOD GRE 06,4
HARTLAND HAR 01,4
HARTLAND HAR 02,4
MCHENRY MCH 07,4
DU PAGE PCT 032,12
DU PAGE PCT 033,1
FLORA 1,9
SELBY 2,17
MAYFIELD 1,4
COLONA 1,15
DEER PARK 1,17
EDEN 1,17
FALL RIVER 1,17
FARM RIDGE 1,17
ESMEN,17
PONTIAC 10,17
PONTIAC 9,17
HARTLAND HAR 01,4
HARTLAND HAR 02,4
ALLIN 01,3
BLOOMINGTON 01,3
BLOOMINGTON 02,3
DALE 01,3
NORMAL 12,3
NORMAL 13,3
NORMAL 20,3
PRECINCT 10,3
PRECINCT 15,3
PRECINCT 17,3
PRECINCT 2,3
PRECINCT 52,3
KI01,3
LI01,3
LI02,3
RI01,3
RI03,3
RO01,3
HENNEPIN 1,17
MAGNOLIA 2,17
CINCINNATI 01,3
CINCINNATI 03,3
HOPEDALE 01,3
LT MACKINAW 01,3
PEKIN 13,3
CHERRY VALLEY 2,9
CHERRY VALLEY 3,9
CHERRY VALLEY 6,9
HARLEM 1,9
HARLEM 23,9
ROCKFORD 1,9
ROCKFORD 15,9
ROCKFORD 2,9
ROCKFORD 25,9
ROCKFORD 27,9
ROCKFORD 31,9
ROCKFORD 32,9
ROCKFORD 33,9
ROCKFORD 51,9
ROCKFORD 52,9
ROCKFORD 9,9
WARD 1 PRECINCT 2,9
WARD 1 PRECINCT 5,9
WARD 12 PRECINCT 2,9
WARD 12 PRECINCT 5,9
WARD 4 PRECINCT 1,9
WARD 4 PRECINCT 4,9
WARD 4 PRECINCT 8,9
WARD 5 PRECINCT 3,9
WARD 6 PRECINCT 1,9
WARD 6 PRECINCT 3,9
WARD 7 PRECINCT 4,9
WARD 9 PRECINCT 3,9
WINNEBAGO 1,9
WINNEBAGO 2,9
SELBY 2,17
7700013,1
MAYFIELD 1,4
SYCAMORE 7,4
SYCAMORE 9,4
AU0009,12
AU0021,12
AU0050,12
DEER PARK 1,17
EDEN 1,17
FALL RIVER 1,17
FARM RIDGE 1,17
HENNEPIN 1,17
MAGNOLIA 2,17
DU PAGE PCT 032,12
DU PAGE PCT 033,12
TROY PCT 003,12
TROY PCT 022,12
HENSLEY,13
SOMER,13
DECATUR 16,8
DECATUR 19,8
DECATUR 27,8
DECATUR 28,8
DECATUR 7,8
DECATUR 8,8
DECATUR 9,8
HARRISTOWN,8
HICKORY PT. 2,8
HICKORY PT. 3,8
LONG CREEK 4,8
OAKLEY,8
ALTON 01,16
ALTON 03,16
ALTON 05,16
COLLINSVILLE 01,16
COLLINSVILLE 20,16
FORT RUSSELL 07,16
FOSTER 02,16
MORO 02,16
CAPITAL 009,8
CAPITAL 012,8
CAPITAL 020,8
CAPITAL 025,8
CAPITAL 029,8
CAPITAL 040,8
CAPITAL 044,8
CAPITAL 057,8
CAPITAL 062,8
CAPITAL 080,8
CAPITAL 081,8
CAPITAL 085,8
CAPITAL 090,8
CURRAN 001,8
GARDNER 004,8
SPRINGFIELD 003,8
BELLEVILLE 22,16
BELLEVILLE 26,16
CASEYVILLE 1,16
CASEYVILLE 12,16
CASEYVILLE 19,16
CASEYVILLE 25,16
CASEYVILLE 5,16
CENTREVILLE 15,16
O FALLON 2,16
ST CLAIR 14,16
STOOKEY 10,16
STOOKEY 2,16
STOOKEY 6,16
SUGAR LOAF 1,16
HENSLEY,13
SOMER,13
DECATUR 16,8
DECATUR 19,8
DECATUR 27,8
DECATUR 28,8
DECATUR 7,8
DECATUR 8,8
DECATUR 9,8
HARRISTOWN,8
HICKORY PT. 2,8
HICKORY PT. 3,8
LONG CREEK 4,8
OAKLEY,8
ALTON 01,16
ALTON 03,16
ALTON 05,16
COLLINSVILLE 01,16
COLLINSVILLE 20,16
FORT RUSSELL 07,16
FOSTER 02,16
MORO 02,16
EMMET,10
MACOMB CITY #1,10
MACOMB CITY #2,10
MACOMB CITY #7,10
MOUND,10
SCOTLAND,10
CAPITAL 009,8
CAPITAL 012,8
CAPITAL 020,8
CAPITAL 025,8
CAPITAL 029,8
CAPITAL 040,8
CAPITAL 044,8
CAPITAL 057,8
CAPITAL 062,8
CAPITAL 080,8
CAPITAL 081,8
CAPITAL 085,8
CAPITAL 090,8
CURRAN 001,8
GARDNER 004,8
SPRINGFIELD 003,8
CASEYVILLE 1,16
CASEYVILLE 12,16
CATLIN 2,13
GEORGETOWN 5,13
GEORGETOWN 7,13
MCKENDREE,13
OAKWOOD 2,13
VANCE,13
7000008,4
7400014,7
7400016,7
7400023,7
7400027,7
7400046,7
7800042,5
8000004,7
8000012,5
8000016,5
8000017,5
8000020,5
8000035,5
8000047,5
8000069,5
8200001,5
8200026,5
8300033,5
8700002,7
8700018,7
8700027,7
8700035,7
8700038,7
8700047,7
8700059,7
9600011,7
9600021,7
9600040,7
9600046,7
9600063,7
9600084,7
9600086,7
