Precinct,district
FLORA 1,13
7700013,14
MAYFIELD 1,13
SYCAMORE 7,13
SYCAMORE 9,10
LISLE  017,2
LISLE  030,2
LISLE  041,2
LISLE  064,2
LISLE  071,14
LISLE  082,2
LISLE  107,2
WINFIELD  002,10
WINFIELD  031,10
AU0009,10
AU0021,10
AU0050,10
GE0010,10
RU0013,17
SC0013,10
WAUCONDA 344,17
WAUCONDA 350,17
GREENWOOD GRE 06,17
HARTLAND HAR 01,17
HARTLAND HAR 02,17
MCHENRY MCH 07,17
DU PAGE PCT 032,14
DU PAGE PCT 033,14
FLORA 1,13
SELBY 2,11
MAYFIELD 1,13
COLONA 1,1
DEER PARK 1,16
EDEN 1,11
FALL RIVER 1,10
FARM RIDGE 1,16
ESMEN,16
PONTIAC 10,16
PONTIAC 9,16
HARTLAND HAR 01,17
HARTLAND HAR 02,17
ALLIN 01,16
BLOOMINGTON 01,16
BLOOMINGTON 02,16
DALE 01,16
NORMAL 12,16
NORMAL 13,16
NORMAL 20,16
PRECINCT 10,16
PRECINCT 15,16
PRECINCT 17,16
PRECINCT 2,16
PRECINCT 52,16
KI01,11
LI01,11
LI02,11
RI01,11
RI03,11
RO01,11
HENNEPIN 1,11
MAGNOLIA 2,11
CINCINNATI 01,11
CINCINNATI 03,11
HOPEDALE 01,11
LT MACKINAW 01,16
PEKIN 13,11
CHERRY VALLEY 2,13
CHERRY VALLEY 3,13
CHERRY VALLEY 6,13
HARLEM 1,13
HARLEM 23,13
ROCKFORD 1,13
ROCKFORD 15,13
ROCKFORD 2,13
ROCKFORD 25,13
ROCKFORD 27,13
ROCKFORD 31,13
ROCKFORD 32,13
ROCKFORD 33,13
ROCKFORD 51,13
ROCKFORD 52,13
ROCKFORD 9,13
WARD 1 PRECINCT 2,13
WARD 1 PRECINCT 5,13
WARD 12 PRECINCT 2,13
WARD 12 PRECINCT 5,13
WARD 4 PRECINCT 1,13
WARD 4 PRECINCT 4,13
WARD 4 PRECINCT 8,13
WARD 5 PRECINCT 3,13
WARD 6 PRECINCT 1,13
WARD 6 PRECINCT 3,13
WARD 7 PRECINCT 4,13
WARD 9 PRECINCT 3,13
WINNEBAGO 1,13
WINNEBAGO 2,13
SELBY 2,11
7700013,14
MAYFIELD 1,13
SYCAMORE 7,13
SYCAMORE 9,13
AU0009,10
AU0021,10
AU0050,10
DEER PARK 1,16
EDEN 1,11
FALL RIVER 1,10
FARM RIDGE 1,16
HENNEPIN 1,11
MAGNOLIA 2,11
DU PAGE PCT 032,14
DU PAGE PCT 033,14
TROY PCT 003,14
TROY PCT 022,14
HENSLEY,7
SOMER,7
DECATUR 16,7
DECATUR 19,7
DECATUR 27,7
DECATUR 28,7
DECATUR 7,7
DECATUR 8,7
DECATUR 9,7
HARRISTOWN,7
HICKORY PT. 2,7
HICKORY PT. 3,7
LONG CREEK 4,7
OAKLEY,7
ALTON 01,9
ALTON 03,9
ALTON 05,9
COLLINSVILLE 01,9
COLLINSVILLE 20,9
FORT RUSSELL 07,9
FOSTER 02,9
MORO 02,9
CAPITAL 009,9
CAPITAL 012,9
CAPITAL 020,9
CAPITAL 025,9
CAPITAL 029,9
CAPITAL 040,9
CAPITAL 044,9
CAPITAL 057,9
CAPITAL 062,9
CAPITAL 080,9
CAPITAL 081,9
CAPITAL 085,9
CAPITAL 090,9
CURRAN 001,9
GARDNER 004,9
SPRINGFIELD 003,9
BELLEVILLE 22,9
BELLEVILLE 26,9
CASEYVILLE 1,9
CASEYVILLE 12,9
CASEYVILLE 19,9
CASEYVILLE 25,9
CASEYVILLE 5,9
CENTREVILLE 15,9
O FALLON 2,9
ST CLAIR 14,9
STOOKEY 10,9
STOOKEY 2,9
STOOKEY 6,9
SUGAR LOAF 1,9
HENSLEY,7
SOMER,7
DECATUR 16,7
DECATUR 19,7
DECATUR 27,7
DECATUR 28,7
DECATUR 7,7
DECATUR 8,7
DECATUR 9,7
HARRISTOWN,7
HICKORY PT. 2,7
HICKORY PT. 3,7
LONG CREEK 4,7
OAKLEY,7
ALTON 01,9
ALTON 03,9
ALTON 05,9
COLLINSVILLE 01,9
COLLINSVILLE 20,9
FORT RUSSELL 07,9
FOSTER 02,9
MORO 02,9
EMMET,1
MACOMB CITY #1,1
MACOMB CITY #2,1
MACOMB CITY #7,1
MOUND,11
SCOTLAND,11
CAPITAL 009,9
CAPITAL 012,9
CAPITAL 020,9
CAPITAL 025,9
CAPITAL 029,9
CAPITAL 040,9
CAPITAL 044,9
CAPITAL 057,9
CAPITAL 062,9
CAPITAL 080,9
CAPITAL 081,9
CAPITAL 085,9
CAPITAL 090,9
CURRAN 001,9
GARDNER 004,9
SPRINGFIELD 003,9
CASEYVILLE 1,9
CASEYVILLE 12,9
CATLIN 2,4
GEORGETOWN 5,4
GEORGETOWN 7,4
MCKENDREE,4
OAKWOOD 2,4
VANCE,4
7000008,15
7400014,15
7400016,15
7400023,15
7400027,15
7400046,15
7800042,12
8000004,15
8000012,15
8000016,15
8000017,15
8000020,12
8000035,15
8000047,15
8000069,15
8200001,12
8200026,12
8300033,15
8700002,15
8700018,15
8700027,15
8700035,15
8700038,15
8700047,15
8700059,15
9600011,15
9600021,15
9600040,15
9600046,15
9600063,15
9600084,15
9600086,15
WARD 01 PRECINCT 21,12
WARD 02 PRECINCT 23,12
WARD 27 PRECINCT 09,12
WARD 27 PRECINCT 12,12
WARD 27 PRECINCT 13,12
WARD 27 PRECINCT 21,12
WARD 30 PRECINCT 03,12
WARD 30 PRECINCT 15,12
WARD 30 PRECINCT 22,12
WARD 30 PRECINCT 23,12
WARD 32 PRECINCT 19,12
WARD 33 PRECINCT 16,12
WARD 35 PRECINCT 22,12
